Code,Country,Region(s),hfa,hfa_base,team_hfa,team_hfa_home,alt_bonus,dist_bonus,Home field,Legacy year,_1872,_1873,_1874,_1875,_1876,_1877,_1878,_1879,_1880,_1881,_1882,_1883,_1884,_1885,_1886,_1887,_1888,_1889,_1890,_1891,_1892,_1893,_1894,_1895,_1896,_1897,_1898,_1899,_1900,_1901,_1902,_1903,_1904,_1905,_1906,_1907,_1908,_1909,_1910,_1911,_1912,_1913,_1914,_1915,_1916,_1917,_1918,_1919,_1920,_1921,_1922,_1923,_1924,_1925,_1926,_1927,_1928,_1929,_1930,_1931,_1932,_1933,_1934,_1935,_1936,_1937,_1938,_1939,_1940,_1941,_1942,_1943,_1944,_1945,_1946,_1947,_1948,_1949,_1950,_1951,_1952,_1953,_1954,_1955,_1956,_1957,_1958,_1959,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,defunct
BRA,:br: Brazil@@brazil,"<span style=""color:#8B2424"">LatAm</span>",68,52,-24,-15,1,30,68,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,1,1,0,2,0,1,5,5,2,7,0,6,0,2,9,7,2,2,8,11,0,5,7,7,4,25,14,10,14,15,5,12,18,3,10,17,4,20,9,14,7,5,9,16,6,10,13,12,8,8,16,11,14,3,11,12,11,7,22,11,14,10,21,13,18,6,24,18,20,13,20,15,12,18,16,12,18,11,17,12,16,13,19,16,14,12,11,15,16,4,17,13,9,13,10,0
POR,:pt: Portugal@@portugal,"<span style=""color:#2A6FB5"">Europe</span>",67,52,-16,-10,0,26,67,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,7,3,4,2,1,2,2,1,2,0,4,1,1,2,1,0,0,3,2,6,2,4,4,4,3,3,3,5,4,7,2,6,3,5,5,2,7,7,12,6,3,6,2,5,10,5,3,7,5,4,5,5,6,9,6,8,10,7,8,8,2,11,4,9,8,10,6,9,13,7,6,9,14,10,11,12,16,12,15,12,13,12,13,10,14,12,12,10,17,15,15,10,8,16,14,10,16,10,0
EGY,:eg: Egypt@@egypt,"<span style=""color:#D4A017"">Mid. East</span> •<br><span style=""color:#5BA85F"">N. Africa</span>",98,52,26,16,0,30,98,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3,4,6,2,5,0,0,0,0,3,11,6,6,3,5,2,7,7,9,10,10,9,13,8,14,3,5,7,4,2,20,18,15,8,16,19,23,20,11,15,14,15,18,12,20,16,14,18,21,16,12,15,16,13,10,18,17,13,10,19,16,10,7,9,13,12,12,2,14,15,10,15,12,0
BUL,:bg: Bulgaria@@bulgaria,"<span style=""color:#2A6FB5"">Europe</span>",71,52,-8,-5,4,21,71,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,3,5,5,7,4,8,5,2,3,2,2,2,0,2,1,0,0,3,5,5,4,4,0,2,7,2,7,6,8,7,6,10,6,8,6,3,10,8,7,10,8,11,8,7,14,17,7,11,10,13,9,10,17,10,10,9,12,13,6,14,8,5,9,8,9,14,9,12,6,12,11,11,12,8,10,13,11,9,11,7,10,9,9,9,9,6,7,8,7,8,10,9,13,10,10,10,10,0
IRL,:ie: Rep. Ireland@@rep. ireland,"<span style=""color:#2A6FB5"">Europe</span>",56,52,-32,-20,0,25,56,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,1,2,1,0,3,3,5,4,4,3,0,0,0,0,0,0,3,2,3,8,2,3,4,4,2,5,3,3,3,3,5,4,3,3,6,4,6,3,4,7,6,3,6,5,5,4,5,5,6,9,8,6,7,5,7,9,7,8,10,8,13,8,10,9,12,9,11,10,6,10,9,10,12,11,13,9,7,11,8,12,9,14,12,14,10,9,13,11,9,10,8,12,10,10,10,10,0
RSA,:za: South Africa@@south africa,"<span style=""color:#0F4A3A"">E. Africa</span>",65,52,-42,-26,11,28,65,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,7,13,13,15,14,18,14,24,10,13,16,11,16,19,19,18,9,13,19,9,21,12,12,10,10,4,14,10,14,20,11,0
URS,💀 Soviet Union@@soviet union,"<span style=""color:#6BAFE5"">Ex-USSR</span>",74,52,0,0,0,22,74,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,8,12,8,10,3,8,10,8,5,9,12,17,16,10,8,12,12,21,10,3,8,12,10,11,11,9,6,10,9,6,13,13,9,17,9,15,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAN,:ca: Canada@@canada,"<span style=""color:#E04E2A"">N. Amer.</span>",87,52,9,6,0,30,87,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,6,3,5,6,6,0,0,8,6,0,6,7,17,16,7,13,5,2,5,11,14,5,8,8,11,1,10,17,6,6,9,10,8,5,9,11,8,6,11,9,11,5,14,10,9,4,8,3,18,15,10,12,13,0
PAR,:py: Paraguay@@paraguay,"<span style=""color:#8B2424"">LatAm</span>",90,52,19,12,0,26,90,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,2,3,2,4,0,0,0,0,0,5,0,7,2,0,6,2,0,4,5,7,0,8,7,0,0,6,6,7,9,9,7,11,5,8,4,11,2,11,5,6,4,12,2,7,6,7,2,8,6,15,0,14,5,5,0,13,0,19,13,5,8,22,0,7,0,14,0,12,10,16,14,17,14,14,11,14,12,12,10,16,13,13,16,20,11,9,8,14,12,9,3,14,4,15,11,8,12,10,0
BOL,:bo: Bolivia@@bolivia,"<span style=""color:#8B2424"">LatAm</span>",247,52,100,63,107,25,247,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,5,7,1,7,3,0,0,5,0,0,0,8,0,6,0,2,2,8,0,4,0,5,0,4,0,1,4,11,0,7,0,11,0,7,8,7,0,8,0,11,0,4,0,14,0,6,0,21,16,10,17,18,0,16,15,12,5,8,11,7,1,12,11,9,3,15,8,10,6,10,10,8,10,10,4,17,7,11,14,11,0
PER,:pe: Peru@@peru,"<span style=""color:#8B2424"">LatAm</span>",64,52,-22,-14,1,25,64,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,3,2,4,4,4,0,7,6,0,0,0,0,7,0,7,0,0,5,7,2,5,10,9,0,7,1,3,1,6,0,7,2,4,7,14,15,4,13,11,0,13,4,12,12,10,2,8,9,12,5,19,3,5,4,19,0,8,1,20,7,7,12,19,2,13,14,13,0,15,14,10,7,14,10,11,5,15,12,12,9,14,13,10,14,15,4,17,12,10,13,10,0
GRE,:gr: Greece@@greece,"<span style=""color:#2A6FB5"">Europe</span>",42,52,-52,-33,0,23,42,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,3,4,4,4,0,3,0,0,0,0,0,0,0,0,0,2,4,1,3,1,2,4,2,0,4,2,2,5,3,1,3,4,5,1,7,3,8,6,8,6,5,7,6,4,9,13,4,11,8,10,9,11,7,9,9,12,15,8,10,7,6,14,11,9,8,5,18,10,10,9,11,16,13,10,11,14,10,12,12,13,10,13,8,10,8,9,11,8,12,10,10,10,10,0
CRC,:cr: Costa Rica@@costa rica,"<span style=""color:#8B2424"">LatAm</span> •<br><span style=""color:#E04E2A"">N. Amer.</span>",98,52,14,9,14,23,98,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,2,5,0,2,0,0,7,0,8,0,2,5,0,6,0,7,5,6,0,3,15,12,0,8,0,18,0,3,9,6,1,5,8,0,0,11,7,1,0,7,15,0,0,9,5,15,0,0,8,11,9,13,15,15,3,9,16,21,4,13,15,21,13,17,14,24,9,18,12,21,10,22,13,22,16,16,12,19,14,13,4,17,14,10,14,14,0
CUB,:cu: Cuba@@cuba,"<span style=""color:#FFA31A"">Caribbean</span> •<br><span style=""color:#8B2424"">LatAm</span>",71,52,-4,-3,0,22,71,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,3,0,0,1,0,0,0,0,0,2,0,7,0,0,0,0,2,4,0,4,0,1,4,4,4,0,0,4,4,5,2,0,5,11,1,0,9,10,11,3,4,6,7,7,4,15,4,2,4,12,3,0,1,0,3,0,0,9,19,4,4,11,13,12,6,11,7,8,7,9,18,0,7,8,15,4,6,11,3,0,10,14,0,6,7,10,8,8,0
MEX,:mx: Mexico@@mexico,"<span style=""color:#8B2424"">LatAm</span> •<br><span style=""color:#E04E2A"">N. Amer.</span>",122,52,-7,-4,47,28,122,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,0,3,2,0,0,0,0,0,0,0,0,2,1,4,3,0,5,2,4,0,5,6,3,3,9,10,8,3,0,13,9,9,15,24,15,17,10,10,3,7,5,12,8,4,14,8,0,6,16,21,10,9,7,4,7,15,15,28,12,17,19,25,18,24,18,27,13,13,18,26,12,22,15,20,19,19,12,22,17,23,14,24,16,16,5,23,20,20,13,16,0
MPL,💀 Mandatory Palestine@@mandatory palestine,"<span style=""color:#D4A017"">Mid. East</span>",74,52,0,0,0,22,74,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHN,:cn: China@@china,"<span style=""color:#5B4FB0"">E. Asia</span>",66,52,-29,-19,0,33,66,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,3,5,0,3,1,0,0,12,1,5,8,0,0,0,0,3,10,4,10,14,5,9,15,0,16,8,11,9,21,10,18,11,14,15,12,2,15,14,8,3,14,26,15,0,19,23,10,7,22,9,9,11,19,16,16,18,8,14,13,16,9,11,11,17,0,10,7,11,14,8,0
PHI,:ph: Philippines@@philippines,"<span style=""color:#5B4FB0"">E. Asia</span> •<br><span style=""color:#8C6BC4"">S. Asia</span>",64,52,-25,-16,0,28,64,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,6,2,0,0,6,1,0,0,0,9,0,0,0,11,15,0,3,0,3,3,3,0,6,5,3,4,5,3,1,4,0,3,0,7,0,5,0,4,10,6,5,4,6,7,5,0,3,0,7,4,7,3,11,14,23,9,20,8,9,7,12,9,0,7,10,11,15,5,0
IDN,:id: Indonesia@@indonesia,"<span style=""color:#5B4FB0"">E. Asia</span> •<br><span style=""color:#C44A8A"">Oceania</span> •<br><span style=""color:#8C6BC4"">S. Asia</span>",83,52,-1,0,0,31,83,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,5,7,12,1,10,9,16,6,2,6,5,11,15,8,21,28,23,11,13,14,13,7,11,16,17,23,6,17,10,15,9,8,10,14,4,10,5,14,0,5,17,19,5,11,11,6,7,7,18,4,4,11,13,5,13,10,11,9,13,2,11,6,8,8,0,16,12,12,22,8,0
JPN,:jp: Japan@@japan,"<span style=""color:#5B4FB0"">E. Asia</span>",70,52,-31,-19,0,38,70,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,4,2,4,0,4,10,1,7,8,6,3,5,7,11,4,4,13,6,8,5,8,12,17,5,14,9,12,16,8,10,7,9,6,11,13,11,6,2,11,16,9,17,13,21,17,7,18,13,13,16,22,20,19,13,19,17,19,15,12,19,12,17,10,13,14,23,4,12,18,10,16,13,0
ANT,💀 Netherlands Antilles@@netherlands antilles,"<span style=""color:#FFA31A"">Caribbean</span>",74,52,0,0,0,22,74,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,4,0,6,7,10,1,8,1,0,6,4,7,1,7,2,4,8,7,9,12,0,11,7,4,7,5,6,3,2,7,0,0,2,0,8,3,4,0,1,2,2,0,2,0,6,5,4,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SUR,:sr: Suriname@@suriname,"<span style=""color:#FFA31A"">Caribbean</span>",82,52,12,8,0,22,82,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,2,0,1,3,2,1,2,0,0,0,4,0,0,0,0,2,7,0,0,3,1,4,3,2,4,1,2,6,4,4,5,9,7,6,7,9,7,2,1,6,6,8,0,0,0,0,4,2,8,0,5,0,8,0,2,3,4,6,2,0,9,0,5,0,16,2,7,10,6,1,1,5,5,2,3,8,0,6,8,6,7,11,0
COL,:co: Colombia@@colombia,"<span style=""color:#8B2424"">LatAm</span>",78,52,-39,-24,24,26,78,1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,5,7,0,7,0,0,0,0,0,0,0,11,0,0,0,3,6,8,0,4,2,0,1,13,1,2,5,8,0,9,1,7,0,6,1,9,0,7,5,19,0,6,6,16,12,11,3,18,16,17,12,17,9,15,16,18,4,16,16,17,7,17,13,12,8,12,8,12,13,12,15,11,11,14,4,17,9,13,16,10,0
ECU,:ec: Ecuador@@ecuador,"<span style=""color:#8B2424"">LatAm</span>",150,52,63,39,33,26,150,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,6,0,0,6,0,7,0,7,0,0,0,6,0,5,0,6,0,5,2,0,0,6,0,5,2,0,0,5,1,0,4,10,0,8,1,10,0,8,0,6,0,6,6,9,0,10,9,14,0,8,5,18,4,10,16,19,1,16,15,14,15,10,15,17,11,18,12,10,7,17,8,13,11,12,13,10,6,12,4,18,13,10,14,10,0
VEN,:ve: Venezuela@@venezuela,"<span style=""color:#8B2424"">LatAm</span>",77,52,-10,-6,3,28,77,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,5,0,1,0,0,1,0,0,0,2,4,0,0,2,0,2,4,0,0,6,0,5,0,6,0,1,5,1,0,4,0,5,1,4,0,6,0,4,0,8,0,2,0,12,0,4,0,15,1,6,15,14,0,13,15,12,5,12,15,10,9,18,16,13,14,21,11,9,4,13,16,9,5,12,4,14,10,11,11,10,0
HAI,:ht: Haiti@@haiti,"<span style=""color:#FFA31A"">Caribbean</span>",60,52,-20,-12,0,20,60,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,1,2,0,0,2,2,0,5,4,0,1,0,9,0,3,0,5,3,14,6,8,1,10,5,20,11,6,11,7,5,13,10,8,0,1,4,4,0,0,0,1,0,5,3,0,3,0,9,2,7,11,16,11,5,7,14,7,10,14,21,10,5,7,8,10,6,11,10,6,4,14,0,11,5,11,6,12,0
PAN,:pa: Panama@@panama,"<span style=""color:#8B2424"">LatAm</span> •<br><span style=""color:#E04E2A"">N. Amer.</span>",77,52,6,4,0,22,77,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,9,0,8,3,0,4,5,6,2,0,4,4,0,2,0,9,0,4,1,2,3,2,0,2,3,4,3,2,5,9,7,3,4,4,11,0,0,2,8,4,3,9,2,1,0,2,4,7,0,4,17,4,0,2,20,15,0,9,16,24,6,18,6,13,10,20,13,21,10,17,16,19,13,12,6,18,14,17,13,13,0
SLK,💀 Slovak Republic@@slovak republic,"<span style=""color:#2A6FB5"">Europe</span>",74,52,0,0,0,22,74,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLV,:sv: El Salvador@@el salvador,"<span style=""color:#8B2424"">LatAm</span> •<br><span style=""color:#E04E2A"">N. Amer.</span>",72,52,-12,-7,6,22,72,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,4,0,8,2,6,0,0,6,2,7,0,0,0,1,0,6,0,10,0,7,5,4,16,8,6,5,4,1,1,6,7,8,1,6,12,8,5,4,10,7,0,11,12,11,0,6,18,12,3,5,17,19,7,12,17,11,4,14,14,3,4,16,21,21,6,20,12,11,11,15,9,13,6,14,2,25,13,10,11,12,0
LBN,:lb: Lebanon@@lebanon,"<span style=""color:#D4A017"">Mid. East</span>",63,52,-23,-14,0,26,63,1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,3,0,2,0,3,0,6,5,3,6,5,0,0,1,8,0,0,4,3,0,0,0,2,0,0,0,0,0,5,0,1,7,2,0,0,0,13,0,1,14,17,15,6,16,11,7,11,16,1,5,5,12,11,2,13,17,17,5,11,10,6,7,13,1,14,6,16,14,10,0
NDH,💀 Ind. State of Croatia@@ind. state of croatia,"<span style=""color:#2A6FB5"">Europe</span>",74,52,0,0,0,22,74,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SYR,:sy: Syria@@syria,"<span style=""color:#D4A017"">Mid. East</span>",64,52,-27,-17,5,25,64,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,2,0,2,0,1,0,5,0,0,0,0,0,6,0,2,4,0,0,0,0,8,4,11,4,4,7,3,9,3,10,5,4,9,12,17,1,9,22,4,0,0,7,10,0,3,15,11,11,6,21,13,13,11,22,7,15,13,19,18,13,9,10,8,3,11,13,12,9,20,2,14,11,8,15,10,0
ALB,:al: Albania@@albania,"<span style=""color:#2A6FB5"">Europe</span>",65,52,-12,-8,0,21,65,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,5,0,2,2,0,0,0,0,1,0,0,0,0,2,2,4,0,4,0,0,2,6,2,5,0,0,1,0,0,0,4,4,3,5,3,4,2,4,4,5,4,5,6,7,4,7,4,7,8,8,8,7,9,10,8,10,6,11,7,9,9,11,9,10,8,7,11,9,9,10,7,12,11,9,13,10,0
GUA,:gt: Guatemala@@guatemala,"<span style=""color:#8B2424"">LatAm</span> •<br><span style=""color:#E04E2A"">N. Amer.</span>",121,52,28,17,30,22,121,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,1,4,0,0,6,0,5,0,3,0,0,3,4,0,6,0,7,1,13,10,7,0,6,7,7,0,5,11,7,0,6,17,0,0,10,8,7,2,7,19,12,1,6,6,0,0,4,21,11,6,20,20,9,6,14,19,24,6,15,14,7,8,15,14,11,7,16,9,0,5,11,4,13,11,15,12,15,0
ISL,:is: Iceland@@iceland,"<span style=""color:#2A6FB5"">Europe</span>",80,52,4,2,0,27,80,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,2,2,1,6,0,4,2,0,3,0,2,1,0,1,1,4,2,2,4,6,4,6,5,6,5,6,7,6,8,5,5,5,8,7,8,5,8,9,8,7,10,7,11,10,8,10,9,9,9,8,9,9,6,9,12,11,9,6,10,10,9,11,17,11,14,12,10,13,14,12,12,10,0
